,时间±7天命中 | 全部,时间±7天命中 | 少量(1-2),时间±7天命中 | 成熟(3+),时间±7天命中 | 新发行商(0),折扣MAE | 全部,折扣MAE | 少量(1-2),折扣MAE | 成熟(3+),折扣MAE | 新发行商(0),真实周±1周概率 | 全部,真实周±1周概率 | 少量(1-2),真实周±1周概率 | 成熟(3+),真实周±1周概率 | 新发行商(0)
规则,0.43026196014969154,0.4217142857142857,0.4170148120015192,0.43931686046511625,13.432183675533528,12.912571428571429,12.058108621344473,14.254723837209303,,,,
A v1 基线,0.44927682815818754,0.45771428571428574,0.4698063045955184,0.4367732558139535,10.246961511620887,9.570738164467208,7.0465691124466945,11.992968787155872,0.31981126575606744,0.3592099789497187,0.40134495732788866,0.26828038675942956
B +内容,0.4511985435420249,0.45485714285714285,0.4720850740600076,0.44004360465116277,10.21882044556805,9.394386613458964,7.0674790267525465,11.988486354349321,0.33020845399470694,0.3686033602628461,0.4050976380872008,0.28217533123221056
C +相似游戏,0.4515019722868413,0.44971428571428573,0.4743638435244968,0.44113372093023256,10.156236461956915,9.31068362294412,7.0571307671819365,11.907628679001775,0.3322097463443563,0.3717180626565452,0.4111702709308778,0.2818749689492543
D +相似发行商,0.45413168807525034,0.46685714285714286,0.472844663881504,0.44113372093023256,10.159612143003734,9.368124856636873,7.089536816399622,11.879926657191714,0.32748885690283003,0.3682504753219013,0.40820823087072433,0.27591419413196516
E +首月评测,0.4516031152017801,0.4605714285714286,0.46904671477402204,0.44040697674418605,10.12987812404031,9.248638217258335,7.050391202196181,11.883231848982904,0.3338228390097996,0.3700854539980617,0.41221325827781286,0.28479276085534144
